major,elective_exists,sufficently_specified,unspecified_units,lower_div_depts,upper_div_depts,path_to_course_list,remaining_units,courses_to_not_include,courses_to_remove
aerospace-science-engineering-bs,y,n,4,,,,4,,
african-american-african-studies,y,y,0,,,,,,
agricultural-environmental-education-bs,y,n,16,,"ABI, ANG, ANS, ARE, AVS, ENH, FST, IAD, NPB, PLS, VEN",,,,
american-studies,y,n,32,,AMS,,12,,
animal-biology-bs,y,n,25,,,https://docs.google.com/spreadsheets/d/1NOoblTaJxQBOl3HR2JHRIB-E_P9BzH9wLnPd_EhCP3g/edit?gid=1387868582#gid=1387868582,,,
animal-science-bs,y,n,12,,,https://animalscience.ucdavis.edu/sites/g/files/dgvnsk446/files/inline-files/species-specialization-2022-2023_1.pdf,,,
animal-science-management-bs,y,y,0,,,,,,
anthropology,y,n,0,,ANT,,,,
anthropology-bs,y,y,0,,,,,,
applied-chemistry-bs,y,n,3,,CHE,,,,
applied-mathematics-bs,y,n,8,,MAT,,,,
applied-physics-bs,y,y,0,,,,,,
art-history,y,n,12,,AHI,,,,
art-studio,y,n,44,,ART,https://arts.ucdavis.edu/sites/main/files/file-attachments/art_studio_major_checklists_2022-2023_and_pre_fall_2022updated.pdf?1681341654,,,
asian-american-studies,y,n,16,"AAS, AMS, CHI, GSW, MSA, NAS, WMS",,,8,,
atmospheric-science-bs,y,n,22,,ATM,,15,,
biochemical-engineering-bs,y,n,8,,,,6,,
biochemistry-molecular-biology-bs,y,n,6,,"BIS, BIT, CHE, EVE, MIC, NPB, PLB, PMI",,,"BIS101, BIS101D, BIS102, BIS103, BIS105, BIT197T, CHE107A, CHE107B, CHE108, CHE110A, CHE110B, CHE110C,CHE197T,  EVE197T, MIC197T, NPB197T, PLB197T, PMI197T",
biological-sciences,n,y,0,,,,,,
biological-sciences-bs,y,n,11,,"BIS, ENT, ETX, EVE, EXB, MCB, MIC, MMG, NPB, PLB, ","189, 190/190C, 192, 194H, and 199 in ABI,
ANS, BIS, BIT , ENH, ENT , ETX, EVE, MCB, MIC, MMG, NPB, PLB,
PLP , PLS, VEN, WFC, ",,,
